Metro Area,Total,Year,Short Commutes - Less than half-hour,Medium Commutes - Half-hour to one hour,Long Commutes - More than one hour
Atlanta,2232939,2010,1154507,814521,263911
Atlanta,2486837,2022,1251945,940079,294813
Atlanta,2270521,2021,1196507,853597,220417
Atlanta,2715402,2019,1305838,1024857,384707
Atlanta,2715426,2018,1294222,1032286,388918
Atlanta,2660218,2017,1285282,988437,386499
Atlanta,2598113,2016,1268754,952650,376709
Atlanta,2533900,2015,1276099,922041,335760
Atlanta,2444559,2014,1245646,887947,310966
Atlanta,2369931,2013,1249694,848754,271483
Atlanta,2297995,2012,1196153,855032,246810
Atlanta,2264984,2011,1147962,841960,275062
Atlanta,2588713,2023,1269367,986755,332591
Baltimore,1262209,2011,666385,444494,151330
Baltimore,1211828,2023,651433,434197,126198
Baltimore,1310551,2013,684061,463438,163052
Baltimore,1258272,2010,679891,427045,151336
Baltimore,1186643,2022,660588,409474,116581
Baltimore,1314474,2015,681660,474922,157892
Baltimore,1336740,2018,678756,479026,178958
Baltimore,1338289,2016,694881,479157,164251
Baltimore,1335323,2019,670057,487476,177790
Baltimore,1316513,2014,691439,469617,155457
Baltimore,1097176,2021,635088,369219,92869
Baltimore,1336611,2017,677977,483455,175179
Baltimore,1286794,2012,691258,446578,148958
Boston,2446040,2018,1174813,901477,369750
Boston,1876883,2021,1045810,644439,186634
Boston,2380373,2015,1178730,849739,351904
Boston,2297628,2013,1196628,816885,284115
Boston,2407900,2016,1201963,872955,332982
Boston,2166531,2010,1181573,747269,237689
Boston,2195778,2023,1115434,777949,302395
Boston,2194464,2011,1171951,764073,258440
Boston,2261304,2012,1186298,802339,272667
Boston,2084693,2022,1078842,757472,248379
Boston,2434948,2017,1199118,890672,345158
Boston,2312285,2014,1180848,818469,312968
Boston,2500383,2019,1199466,911844,389073
Charlotte,1136681,2023,670628,383732,82321
Charlotte,804105,2012,507423,251404,45278
Charlotte,1118520,2016,664784,384169,69567
Charlotte,1097942,2015,651019,369328,77595
Charlotte,757128,2010,474054,243122,39952
Charlotte,1064335,2014,647197,347585,69553
Charlotte,1188458,2018,691356,404161,92941
Charlotte,995340,2021,624854,311606,58880
Charlotte,1222404,2019,724834,397429,100141
Charlotte,1030250,2013,644643,319608,65999
Charlotte,1091947,2022,664631,358658,68658
Charlotte,1153392,2017,688977,380307,84108
Charlotte,781578,2011,491621,249227,40730
Chicago,3595239,2021,1932201,1299644,363394
Chicago,4407706,2016,2132608,1654807,620291
Chicago,3923570,2022,2018598,1445045,459927
Chicago,4375761,2015,2133686,1611060,631015
Chicago,4227545,2012,2144865,1539525,543155
Chicago,4459381,2019,2114614,1701996,642771
Chicago,4415454,2017,2130867,1662758,621829
Chicago,4455102,2018,2129765,1679528,645809
Chicago,4143034,2011,2075563,1510905,556566
Chicago,3978255,2023,2039488,1452623,486144
Chicago,4279656,2013,2154008,1567581,558067
Chicago,4096292,2010,2066623,1492870,536799
Chicago,4333467,2014,2120430,1604252,608785
Dallas,3540707,2018,1950173,1279215,311319
Dallas,3112015,2013,1778234,1083485,250296
Dallas,3487458,2023,1930368,1236770,320320
Dallas,2863105,2010,1670393,986792,205920
Dallas,3199821,2014,1821128,1122475,256218
Dallas,3449185,2017,1869993,1254554,324638
Dallas,3279183,2015,1830214,1162881,286088
Dallas,2918497,2011,1700475,1001893,216129
Dallas,3036252,2021,1746688,1065892,223672
Dallas,3002472,2012,1721859,1051804,228809
Dallas,3335688,2022,1897610,1168399,269679
Dallas,3555123,2019,1947780,1277251,330092
Dallas,3356103,2016,1832457,1212333,311313
Denver,1391598,2016,794156,497243,100199
Denver,1223180,2011,727796,409995,85389
Denver,1429043,2017,794578,522638,111827
Denver,1163472,2021,689791,399631,74050
Denver,1341293,2014,761304,477599,102390
Denver,1472724,2019,792052,559958,120714
Denver,1178595,2010,698438,407438,72719
Denver,1466746,2018,811228,547737,107781
Denver,1365572,2015,776397,482316,106859
Denver,1249014,2012,735462,429292,84260
Denver,1310265,2023,757170,463477,89618
Denver,1277225,2022,749916,445135,82174
Denver,1266595,2013,739478,437127,89990
Detroit,1713101,2022,1060933,547591,104577
Detroit,1838763,2014,1084734,617103,136926
Detroit,1585164,2021,985942,513781,85441
Detroit,1902261,2017,1133251,634235,134775
Detroit,1799262,2013,1090837,590901,117524
Detroit,1783524,2023,1087810,576598,119116
Detroit,1952256,2019,1134172,668278,149806
Detroit,1683119,2010,1020012,553630,109477
Detroit,1856289,2015,1103162,627183,125944
Detroit,1892466,2016,1110172,646059,136235
Detroit,1763105,2012,1060468,588114,114523
Detroit,1927519,2018,1126006,653978,147535
Detroit,1708447,2011,1028815,566290,113342
Houston,2738015,2012,1472959,995082,269974
Houston,2625741,2010,1465931,930911,228899
Houston,3177856,2023,1627961,1194983,354912
Houston,3068089,2022,1549986,1201383,316720
Houston,3013585,2015,1512160,1143801,357624
Houston,2834241,2013,1507690,1022906,303645
Houston,2786418,2021,1471750,1065549,249119
Houston,3132202,2018,1591495,1193690,347017
Houston,2683111,2011,1494634,954596,233881
Houston,3048882,2017,1560264,1150117,338501
Houston,2955305,2014,1545988,1084461,324856
Houston,3198759,2019,1572410,1262305,364044
Houston,3017233,2016,1538356,1140229,338648
Los Angeles,5388495,2023,2811712,1927706,649077
Los Angeles,5974755,2016,3067978,2113383,793394
Los Angeles,5818616,2014,3109448,2029042,680126
Los Angeles,5899773,2015,3092113,2071981,735679
Los Angeles,5250177,2022,2836371,1835102,578704
Los Angeles,5663516,2013,3077554,1925561,660401
Los Angeles,5392512,2010,3029118,1800246,563148
Los Angeles,5428907,2011,2991783,1838798,598326
Los Angeles,6077813,2018,3019839,2216032,841942
Los Angeles,5551323,2012,3037762,1886271,627290
Los Angeles,4773103,2021,2627632,1663534,481937
Los Angeles,6066040,2017,3070842,2168855,826343
Los Angeles,6114413,2019,3057156,2173826,883431
Miami,2740841,2017,1400049,1050395,290397
Miami,2578324,2022,1370550,954172,253602
Miami,2643227,2023,1402415,965283,275529
Miami,2395786,2011,1357456,854570,183760
Miami,2703405,2016,1407355,1006350,289700
Miami,2440654,2021,1336365,896851,207438
Miami,2655983,2015,1386152,1003474,266357
Miami,2843985,2019,1432588,1095844,315553
Miami,2327054,2010,1332670,815318,179066
Miami,2456010,2012,1341412,914820,199778
Miami,2509362,2013,1393287,914441,201634
Miami,2614254,2014,1441794,938055,234405
Miami,2814512,2018,1385785,1111957,316770
Minneapolis,1430832,2021,990081,382346,58405
Minneapolis,1790878,2016,1136106,555641,99131
Minneapolis,1836758,2018,1151625,583247,101886
Minneapolis,1826361,2017,1144511,576920,104930
Minneapolis,1559291,2022,1054643,432184,72464
Minneapolis,1836359,2019,1133005,592799,110555
Minneapolis,1618919,2023,1100947,447618,70354
Minneapolis,1723294,2013,1096052,532494,94748
Minneapolis,1585973,2010,1018990,485689,81294
Minneapolis,1618675,2011,1037452,497120,84103
Minneapolis,1657563,2012,1072599,494562,90402
Minneapolis,1757506,2014,1103283,551277,102946
Minneapolis,1779099,2015,1115333,565265,98501
New York,8022549,2022,3499352,2878172,1645025
New York,8296382,2011,3704026,2930978,1661378
New York,7057098,2021,3219846,2551736,1285516
New York,9033594,2019,3609925,3369146,2054523
New York,8458242,2012,3713004,3047719,1697519
New York,8888158,2013,3882265,3203609,1802284
New York,9258386,2018,3766436,3397627,2094323
New York,9082578,2014,3898412,3302694,1881472
New York,9382250,2017,3910707,3360567,2110976
New York,9186623,2015,3917223,3302783,1966617
New York,8317168,2023,3558236,3045597,1713335
New York,8249679,2010,3710000,2922800,1616879
New York,9192943,2016,3832055,3353458,2007430
Orlando,1087825,2016,585986,420157,81682
Orlando,1119577,2022,620533,404966,94078
Orlando,950262,2011,565233,327138,57891
Orlando,1031896,2021,564527,382641,84728
Orlando,1200416,2019,601521,485301,113594
Orlando,966991,2012,567619,331967,67405
Orlando,991095,2013,571007,357824,62264
Orlando,1183801,2018,633359,458308,92134
Orlando,1008179,2014,562578,376468,69133
Orlando,1129969,2017,593712,448350,87907
Orlando,921988,2010,551239,316951,53798
Orlando,1071243,2015,587581,409735,73927
Orlando,1167007,2023,616619,449644,100744
Philadelphia,2750522,2016,1477868,952924,319730
Philadelphia,2836136,2019,1479554,1007802,348780
Philadelphia,2600131,2011,1469852,858859,271420
Philadelphia,2761490,2015,1496006,951072,314412
Philadelphia,2684735,2013,1495516,908076,281143
Philadelphia,2604278,2023,1420494,909449,274335
Philadelphia,2621007,2010,1476231,873414,271362
Philadelphia,2287095,2021,1319428,778110,189557
Philadelphia,2808466,2018,1475383,999386,333697
Philadelphia,2629000,2012,1481011,883091,264898
Philadelphia,2761221,2017,1458338,976008,326875
Philadelphia,2730097,2014,1510868,922603,296626
Philadelphia,2544979,2022,1430025,863805,251149
Phoenix,2100531,2018,1269937,670958,159636
Phoenix,1788231,2013,1089609,587913,110709
Phoenix,1920473,2015,1167690,622344,130439
Phoenix,1671473,2010,1002695,568915,99863
Phoenix,1771920,2012,1068798,597535,105587
Phoenix,2156635,2019,1245246,724549,186840
Phoenix,1787166,2021,1118032,558950,110184
Phoenix,1712701,2011,1034617,573063,105021
Phoenix,1913284,2022,1171888,629870,111526
Phoenix,1850458,2014,1141106,604837,104515
Phoenix,2035158,2017,1211665,674763,148730
Phoenix,2004889,2023,1204459,663549,136881
Phoenix,1969362,2016,1192749,626686,149927
"Pittsburgh,",1046303,2011,650926,315937,79440
"Pittsburgh,",889849,2021,560483,269524,59842
"Pittsburgh,",1078307,2015,653097,338419,86791
"Pittsburgh,",1078091,2014,657021,336857,84213
"Pittsburgh,",1085621,2018,649524,349137,86960
"Pittsburgh,",1018500,2023,634191,315104,69205
"Pittsburgh,",1082263,2017,636757,354101,91405
"Pittsburgh,",1076505,2013,660377,336049,80079
"Pittsburgh,",956275,2022,586815,300632,68828
"Pittsburgh,",1077328,2016,644315,346902,86111
"Pittsburgh,",1075791,2019,626560,356922,92309
"Pittsburgh,",1074950,2012,657466,330006,87478
"Pittsburgh,",1041694,2010,648353,314819,78522
Riverside,1752109,2016,942341,498968,310800
Riverside,1881728,2023,991956,556235,333537
Riverside,1883477,2019,985952,550315,347210
Riverside,1694146,2021,914667,500475,279004
Riverside,1581538,2012,889890,433041,258607
Riverside,1542364,2011,866207,424824,251333
Riverside,1806328,2017,984239,513626,308463
Riverside,1553153,2010,886363,421621,245169
Riverside,1858427,2022,990464,551897,316066
Riverside,1734404,2015,972253,469640,292511
Riverside,1888778,2018,1025341,528840,334597
Riverside,1617168,2013,899376,457884,259908
Riverside,1669146,2014,920058,478277,270811
San Antonio,1081096,2017,671132,336610,73354
San Antonio,1027594,2015,633104,323189,71301
San Antonio,922848,2011,593910,274160,54778
San Antonio,1158502,2019,694471,372384,91647
San Antonio,1090691,2022,664247,348207,78237
San Antonio,990802,2013,648155,282593,60054
San Antonio,1114952,2023,662827,365028,87097
San Antonio,1019269,2014,651118,306891,61260
San Antonio,1101570,2018,670558,357853,73159
San Antonio,1019865,2021,636298,318222,65345
San Antonio,1058898,2016,645001,342654,71243
San Antonio,933859,2010,600441,283269,50149
San Antonio,971730,2012,630703,283880,57147
San Diego,1350683,2022,856617,413607,80459
San Diego,1239125,2021,823125,351231,64769
San Diego,1327049,2011,904541,348143,74365
San Diego,1476292,2015,929751,440982,105559
San Diego,1307266,2010,883674,350068,73524
San Diego,1546445,2019,920403,502614,123428
San Diego,1535345,2017,943737,482241,109367
San Diego,1383027,2013,917089,386819,79119
San Diego,1430884,2014,933111,406376,91397
San Diego,1407306,2023,888746,429871,88689
San Diego,1540361,2018,941190,485615,113556
San Diego,1490686,2016,933841,450503,106342
San Diego,1361160,2012,905091,379545,76524
San Francisco,1864429,2023,949725,636185,278519
San Francisco,2161255,2015,1025300,769044,366911
San Francisco,1718516,2022,899136,598758,220622
San Francisco,1923369,2010,1046764,668587,208018
San Francisco,2100937,2014,1037580,742268,321089
San Francisco,1493862,2021,829199,500591,164072
San Francisco,1920727,2011,1025987,677742,216998
San Francisco,1991876,2012,1030157,695926,265793
San Francisco,2048701,2013,1034890,731291,282520
San Francisco,2264018,2019,1016903,806871,440244
San Francisco,2210949,2017,1004535,809741,396673
San Francisco,2180631,2016,1004758,801467,374406
San Francisco,2254095,2018,1023432,811838,418825
Seattle,1416094,2021,794252,486082,135760
Seattle,1773998,2015,932008,633057,208933
Seattle,1824275,2016,942089,659549,222637
Seattle,1921071,2018,954192,713813,253066
Seattle,1586303,2022,884436,549148,152719
Seattle,1709231,2023,949367,577754,182110
Seattle,1683444,2013,936420,584986,162038
Seattle,1608829,2011,920455,551381,136993
Seattle,1664598,2012,928276,582534,153788
Seattle,1736873,2014,919582,626647,190644
Seattle,1963614,2019,964473,754121,245020
Seattle,1571812,2010,919096,526886,125830
Seattle,1872114,2017,942098,699796,230220
"St. Louis,",1165009,2022,748672,357216,59121
"St. Louis,",1307667,2017,804667,429083,73917
"St. Louis,",1310504,2015,818663,415947,75894
"St. Louis,",1274322,2014,800700,402028,71594
"St. Louis,",1325342,2018,810299,435660,79383
"St. Louis,",1256594,2010,803549,384295,68750
"St. Louis,",1260056,2011,809967,381861,68228
"St. Louis,",1263271,2012,796534,392035,74702
"St. Louis,",1228194,2023,795956,368018,64220
"St. Louis,",1323479,2019,816151,432657,74671
"St. Louis,",1109252,2021,731006,326857,51389
"St. Louis,",1275535,2013,801634,406691,67210
"St. Louis,",1304258,2016,809296,412904,82058
Tampa,1266517,2016,750728,408880,106909
Tampa,1241779,2022,711724,414204,115851
Tampa,1131800,2010,712065,346204,73531
Tampa,1127587,2011,694830,362722,70035
Tampa,1151281,2012,716761,359009,75511
Tampa,1200123,2013,737196,377214,85713
Tampa,1216314,2014,726149,396268,93897
Tampa,1295172,2023,713758,448262,133152
Tampa,1299297,2017,745851,438397,115049
Tampa,1246197,2015,750716,390340,105141
Tampa,1334616,2018,761560,456128,116928
Tampa,1360550,2019,773125,459058,128367
Tampa,1191597,2021,704953,399657,86987
Washington,3065253,2016,1317956,1200274,547023
Washington,3059053,2015,1327452,1202970,528631
Washington,2545435,2022,1200188,986771,358476
Washington,2993036,2014,1291999,1183978,517059
Washington,3144623,2018,1335228,1259804,549591
Washington,2962993,2013,1302900,1169835,490258
Washington,2915564,2012,1274863,1155609,485092
Washington,3160911,2019,1313235,1269761,577915
Washington,2831822,2011,1224548,1119084,488190
Washington,2788202,2010,1229106,1090344,468752
Washington,2217836,2021,1098298,855363,264175
Washington,3123186,2017,1324160,1252830,546196
Washington,2652851,2023,1235010,1045634,372207
